01:27:58.4945 [INFO] uart5: [output] CANTRIP> [sreplay_seq_app  0 0 1 1 2 2 3 3 best_fit
01:27:58.4946 [INFO] uart5: [virt:   2.69s (+13ms)] CANTRIP> [sreplay_seq_app  0 0 1 1 2 2 3 3 best_fit
01:27:58.5018 [INFO] uart5: [output] {'bytes in-use': 4096, 'bytes free': 2719488, 'bytes requested': 4096, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 1}
01:27:58.5019 [INFO] uart5: [virt:  2.69s (+1.3ms)] {'bytes in-use': 4096, 'bytes free': 2719488, 'bytes requested': 4096, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 1}
01:27:58.5114 [INFO] uart5: [output] {'bytes in-use': 4160, 'bytes free': 2719424, 'bytes requested': 4160, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 2}
01:27:58.5115 [INFO] uart5: [virt:  2.69s (+1.3ms)] {'bytes in-use': 4160, 'bytes free': 2719424, 'bytes requested': 4160, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 2}
01:27:58.5196 [INFO] uart5: [output] {'bytes in-use': 4672, 'bytes free': 2718912, 'bytes requested': 4672, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 3}
01:27:58.5197 [INFO] uart5: [virt:   2.7s (+1.3ms)] {'bytes in-use': 4672, 'bytes free': 2718912, 'bytes requested': 4672, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 3}
01:27:58.5306 [INFO] uart5: [output] {'bytes in-use': 4928, 'bytes free': 2718656, 'bytes requested': 4928, 'lhs fragmentation': 0, 'in-between fragmentation': 192, 'objs in-use': 4}
01:27:58.5307 [INFO] uart5: [virt:   2.7s (+1.2ms)] {'bytes in-use': 4928, 'bytes free': 2718656, 'bytes requested': 4928, 'lhs fragmentation': 0, 'in-between fragmentation': 192, 'objs in-use': 4}
01:27:58.5391 [INFO] uart5: [output] {'bytes in-use': 9024, 'bytes free': 2714560, 'bytes requested': 9024, 'lhs fragmentation': 0, 'in-between fragmentation': 192, 'objs in-use': 5}
01:27:58.5392 [INFO] uart5: [virt:   2.7s (+1.3ms)] {'bytes in-use': 9024, 'bytes free': 2714560, 'bytes requested': 9024, 'lhs fragmentation': 0, 'in-between fragmentation': 192, 'objs in-use': 5}
01:27:58.5484 [INFO] uart5: [output] {'bytes in-use': 13120, 'bytes free': 2710464, 'bytes requested': 13120, 'lhs fragmentation': 0, 'in-between fragmentation': 192, 'objs in-use': 6}
01:27:58.5484 [INFO] uart5: [virt:   2.7s (+1.3ms)] {'bytes in-use': 13120, 'bytes free': 2710464, 'bytes requested': 13120, 'lhs fragmentation': 0, 'in-between fragmentation': 192, 'objs in-use': 6}
01:27:58.5545 [INFO] uart5: [output] {'bytes in-use': 29504, 'bytes free': 2694080, 'bytes requested': 29504, 'lhs fragmentation': 0, 'in-between fragmentation': 192, 'objs in-use': 10}
01:27:58.5546 [INFO] uart5: [virt:   2.7s (+1.4ms)] {'bytes in-use': 29504, 'bytes free': 2694080, 'bytes requested': 29504, 'lhs fragmentation': 0, 'in-between fragmentation': 192, 'objs in-use': 10}
01:27:58.5643 [INFO] uart5: [output] {'bytes in-use': 37696, 'bytes free': 2685888, 'bytes requested': 37696, 'lhs fragmentation': 0, 'in-between fragmentation': 192, 'objs in-use': 12}
01:27:58.5644 [INFO] uart5: [virt:   2.7s (+1.5ms)] {'bytes in-use': 37696, 'bytes free': 2685888, 'bytes requested': 37696, 'lhs fragmentation': 0, 'in-between fragmentation': 192, 'objs in-use': 12}
01:27:58.5704 [INFO] uart5: [output] {'bytes in-use': 41792, 'bytes free': 2681792, 'bytes requested': 41792, 'lhs fragmentation': 0, 'in-between fragmentation': 192, 'objs in-use': 13}
01:27:58.5705 [INFO] uart5: [virt:   2.7s (+1.3ms)] {'bytes in-use': 41792, 'bytes free': 2681792, 'bytes requested': 41792, 'lhs fragmentation': 0, 'in-between fragmentation': 192, 'objs in-use': 13}
01:27:58.5856 [INFO] uart5: [output] {'bytes in-use': 45888, 'bytes free': 2677696, 'bytes requested': 45888, 'lhs fragmentation': 0, 'in-between fragmentation': 192, 'objs in-use': 14}
01:27:58.5857 [INFO] uart5: [virt: 2.71s (+11.2ms)] {'bytes in-use': 45888, 'bytes free': 2677696, 'bytes requested': 45888, 'lhs fragmentation': 0, 'in-between fragmentation': 192, 'objs in-use': 14}
01:27:58.5943 [INFO] uart5: [output] {'bytes in-use': 46400, 'bytes free': 2677184, 'bytes requested': 46400, 'lhs fragmentation': 0, 'in-between fragmentation': 192, 'objs in-use': 15}
01:27:58.5944 [INFO] uart5: [virt:  2.72s (+1.2ms)] {'bytes in-use': 46400, 'bytes free': 2677184, 'bytes requested': 46400, 'lhs fragmentation': 0, 'in-between fragmentation': 192, 'objs in-use': 15}
01:27:58.6053 [INFO] uart5: [output] {'bytes in-use': 0, 'bytes free': 2723584, 'bytes requested': 46400, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 0}
01:27:58.6053 [INFO] uart5: [virt:  2.72s (+1.7ms)] {'bytes in-use': 0, 'bytes free': 2723584, 'bytes requested': 46400, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 0}
01:27:58.6117 [INFO] uart5: [output] {'bytes in-use': 4096, 'bytes free': 2719488, 'bytes requested': 50496, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 1}
01:27:58.6118 [INFO] uart5: [virt:  2.72s (+1.3ms)] {'bytes in-use': 4096, 'bytes free': 2719488, 'bytes requested': 50496, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 1}
01:27:58.6224 [INFO] uart5: [output] {'bytes in-use': 8192, 'bytes free': 2715392, 'bytes requested': 54592, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 2}
01:27:58.6225 [INFO] uart5: [virt:  2.72s (+1.3ms)] {'bytes in-use': 8192, 'bytes free': 2715392, 'bytes requested': 54592, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 2}
01:27:58.6335 [INFO] uart5: [output] {'bytes in-use': 12288, 'bytes free': 2711296, 'bytes requested': 58688, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 3}
01:27:58.6336 [INFO] uart5: [virt:  2.72s (+1.3ms)] {'bytes in-use': 12288, 'bytes free': 2711296, 'bytes requested': 58688, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 3}
01:27:58.6399 [INFO] uart5: [output] {'bytes in-use': 16384, 'bytes free': 2707200, 'bytes requested': 62784, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 4}
01:27:58.6400 [INFO] uart5: [virt:  2.72s (+1.2ms)] {'bytes in-use': 16384, 'bytes free': 2707200, 'bytes requested': 62784, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 4}
01:27:58.6505 [INFO] uart5: [output] {'bytes in-use': 20480, 'bytes free': 2703104, 'bytes requested': 66880, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 5}
01:27:58.6506 [INFO] uart5: [virt:  2.72s (+1.4ms)] {'bytes in-use': 20480, 'bytes free': 2703104, 'bytes requested': 66880, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 5}
01:27:58.6562 [INFO] uart5: [output] {'bytes in-use': 24576, 'bytes free': 2699008, 'bytes requested': 70976, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 6}
01:27:58.6563 [INFO] uart5: [virt:  2.73s (+1.3ms)] {'bytes in-use': 24576, 'bytes free': 2699008, 'bytes requested': 70976, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 6}
01:27:58.6664 [INFO] uart5: [output] {'bytes in-use': 28672, 'bytes free': 2694912, 'bytes requested': 75072, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 7}
01:27:58.6666 [INFO] uart5: [virt:  2.73s (+1.2ms)] {'bytes in-use': 28672, 'bytes free': 2694912, 'bytes requested': 75072, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 7}
