15:13:20.4975 [INFO] uart5: [output] CANTRIP> [sreplay_seq_app  0 1 2 3 4 5 6 7 7 6 5 4 3 2 1 0 best_fit
15:13:20.4976 [INFO] uart5: [virt: 4.16s (+11.6ms)] CANTRIP> [sreplay_seq_app  0 1 2 3 4 5 6 7 7 6 5 4 3 2 1 0 best_fit
15:13:20.5097 [INFO] uart5: [output] {'bytes in-use': 4096, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2719488, 'bytes requested': 4096, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 1}
15:13:20.5098 [INFO] uart5: [virt:  4.17s (+1.7ms)] {'bytes in-use': 4096, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2719488, 'bytes requested': 4096, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 1}
15:13:20.5208 [INFO] uart5: [output] {'bytes in-use': 4160, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2719424, 'bytes requested': 4160, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 2}
15:13:20.5208 [INFO] uart5: [virt:  4.17s (+1.5ms)] {'bytes in-use': 4160, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2719424, 'bytes requested': 4160, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 2}
15:13:20.5277 [INFO] uart5: [output] {'bytes in-use': 4672, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2718912, 'bytes requested': 4672, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 3}
15:13:20.5278 [INFO] uart5: [virt:  4.17s (+1.6ms)] {'bytes in-use': 4672, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2718912, 'bytes requested': 4672, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 3}
15:13:20.5388 [INFO] uart5: [output] {'bytes in-use': 4928, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2718656, 'bytes requested': 4928, 'lhs fragmentation': 0, 'in-between fragmentation': 192, 'objs in-use': 4}
15:13:20.5389 [INFO] uart5: [virt:  4.17s (+1.6ms)] {'bytes in-use': 4928, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2718656, 'bytes requested': 4928, 'lhs fragmentation': 0, 'in-between fragmentation': 192, 'objs in-use': 4}
15:13:20.5489 [INFO] uart5: [output] {'bytes in-use': 9024, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2714560, 'bytes requested': 9024, 'lhs fragmentation': 0, 'in-between fragmentation': 192, 'objs in-use': 5}
15:13:20.5490 [INFO] uart5: [virt:  4.17s (+1.6ms)] {'bytes in-use': 9024, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2714560, 'bytes requested': 9024, 'lhs fragmentation': 0, 'in-between fragmentation': 192, 'objs in-use': 5}
15:13:20.5601 [INFO] uart5: [output] {'bytes in-use': 13120, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2710464, 'bytes requested': 13120, 'lhs fragmentation': 0, 'in-between fragmentation': 192, 'objs in-use': 6}
15:13:20.5601 [INFO] uart5: [virt:  4.17s (+1.7ms)] {'bytes in-use': 13120, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2710464, 'bytes requested': 13120, 'lhs fragmentation': 0, 'in-between fragmentation': 192, 'objs in-use': 6}
15:13:20.5673 [INFO] uart5: [output] {'bytes in-use': 29504, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2694080, 'bytes requested': 29504, 'lhs fragmentation': 0, 'in-between fragmentation': 192, 'objs in-use': 10}
15:13:20.5674 [INFO] uart5: [virt:  4.18s (+1.7ms)] {'bytes in-use': 29504, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2694080, 'bytes requested': 29504, 'lhs fragmentation': 0, 'in-between fragmentation': 192, 'objs in-use': 10}
15:13:20.5779 [INFO] uart5: [output] {'bytes in-use': 37696, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2685888, 'bytes requested': 37696, 'lhs fragmentation': 0, 'in-between fragmentation': 192, 'objs in-use': 12}
15:13:20.5780 [INFO] uart5: [virt:  4.18s (+1.8ms)] {'bytes in-use': 37696, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2685888, 'bytes requested': 37696, 'lhs fragmentation': 0, 'in-between fragmentation': 192, 'objs in-use': 12}
15:13:20.5879 [INFO] uart5: [output] {'bytes in-use': 41792, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2681792, 'bytes requested': 41792, 'lhs fragmentation': 0, 'in-between fragmentation': 192, 'objs in-use': 13}
15:13:20.5880 [INFO] uart5: [virt:  4.18s (+1.6ms)] {'bytes in-use': 41792, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2681792, 'bytes requested': 41792, 'lhs fragmentation': 0, 'in-between fragmentation': 192, 'objs in-use': 13}
15:13:20.5963 [INFO] uart5: [output] {'bytes in-use': 45888, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2677696, 'bytes requested': 45888, 'lhs fragmentation': 0, 'in-between fragmentation': 192, 'objs in-use': 14}
15:13:20.5965 [INFO] uart5: [virt:  4.18s (+1.6ms)] {'bytes in-use': 45888, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2677696, 'bytes requested': 45888, 'lhs fragmentation': 0, 'in-between fragmentation': 192, 'objs in-use': 14}
15:13:20.6071 [INFO] uart5: [output] {'bytes in-use': 46400, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2677184, 'bytes requested': 46400, 'lhs fragmentation': 0, 'in-between fragmentation': 192, 'objs in-use': 15}
15:13:20.6073 [INFO] uart5: [virt:  4.18s (+1.5ms)] {'bytes in-use': 46400, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2677184, 'bytes requested': 46400, 'lhs fragmentation': 0, 'in-between fragmentation': 192, 'objs in-use': 15}
15:13:20.6204 [INFO] uart5: [output] {'bytes in-use': 50496, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2673088, 'bytes requested': 50496, 'lhs fragmentation': 0, 'in-between fragmentation': 192, 'objs in-use': 16}
