01:28:09.9766 [INFO] uart5: [output] CANTRIP> [sreplay_seq_app  0 1 2 1 2 3 0 3 best_fit
01:28:09.9767 [INFO] uart5: [virt: 3.79s (+13.3ms)] CANTRIP> [sreplay_seq_app  0 1 2 1 2 3 0 3 best_fit
01:28:09.9879 [INFO] uart5: [output] {'bytes in-use': 4096, 'bytes free': 2719488, 'bytes requested': 4096, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 1}
01:28:09.9880 [INFO] uart5: [virt:  3.79s (+1.4ms)] {'bytes in-use': 4096, 'bytes free': 2719488, 'bytes requested': 4096, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 1}
01:28:09.9931 [INFO] uart5: [output] {'bytes in-use': 4160, 'bytes free': 2719424, 'bytes requested': 4160, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 2}
01:28:09.9932 [INFO] uart5: [virt:  3.79s (+1.3ms)] {'bytes in-use': 4160, 'bytes free': 2719424, 'bytes requested': 4160, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 2}
01:28:10.0010 [INFO] uart5: [output] {'bytes in-use': 4672, 'bytes free': 2718912, 'bytes requested': 4672, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 3}
01:28:10.0011 [INFO] uart5: [virt:  3.79s (+1.2ms)] {'bytes in-use': 4672, 'bytes free': 2718912, 'bytes requested': 4672, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 3}
01:28:10.0060 [INFO] uart5: [output] {'bytes in-use': 4928, 'bytes free': 2718656, 'bytes requested': 4928, 'lhs fragmentation': 0, 'in-between fragmentation': 192, 'objs in-use': 4}
01:28:10.0061 [INFO] uart5: [virt:  3.79s (+1.3ms)] {'bytes in-use': 4928, 'bytes free': 2718656, 'bytes requested': 4928, 'lhs fragmentation': 0, 'in-between fragmentation': 192, 'objs in-use': 4}
01:28:10.0147 [INFO] uart5: [output] {'bytes in-use': 9024, 'bytes free': 2714560, 'bytes requested': 9024, 'lhs fragmentation': 0, 'in-between fragmentation': 192, 'objs in-use': 5}
01:28:10.0148 [INFO] uart5: [virt:  3.79s (+1.3ms)] {'bytes in-use': 9024, 'bytes free': 2714560, 'bytes requested': 9024, 'lhs fragmentation': 0, 'in-between fragmentation': 192, 'objs in-use': 5}
01:28:10.0207 [INFO] uart5: [output] {'bytes in-use': 13120, 'bytes free': 2710464, 'bytes requested': 13120, 'lhs fragmentation': 0, 'in-between fragmentation': 192, 'objs in-use': 6}
01:28:10.0208 [INFO] uart5: [virt:  3.79s (+1.3ms)] {'bytes in-use': 13120, 'bytes free': 2710464, 'bytes requested': 13120, 'lhs fragmentation': 0, 'in-between fragmentation': 192, 'objs in-use': 6}
01:28:10.0291 [INFO] uart5: [output] {'bytes in-use': 29504, 'bytes free': 2694080, 'bytes requested': 29504, 'lhs fragmentation': 0, 'in-between fragmentation': 192, 'objs in-use': 10}
01:28:10.0293 [INFO] uart5: [virt:   3.8s (+1.4ms)] {'bytes in-use': 29504, 'bytes free': 2694080, 'bytes requested': 29504, 'lhs fragmentation': 0, 'in-between fragmentation': 192, 'objs in-use': 10}
01:28:10.0345 [INFO] uart5: [output] {'bytes in-use': 37696, 'bytes free': 2685888, 'bytes requested': 37696, 'lhs fragmentation': 0, 'in-between fragmentation': 192, 'objs in-use': 12}
01:28:10.0346 [INFO] uart5: [virt:   3.8s (+1.5ms)] {'bytes in-use': 37696, 'bytes free': 2685888, 'bytes requested': 37696, 'lhs fragmentation': 0, 'in-between fragmentation': 192, 'objs in-use': 12}
01:28:10.0451 [INFO] uart5: [output] {'bytes in-use': 41792, 'bytes free': 2681792, 'bytes requested': 41792, 'lhs fragmentation': 0, 'in-between fragmentation': 192, 'objs in-use': 13}
01:28:10.0452 [INFO] uart5: [virt:   3.8s (+1.3ms)] {'bytes in-use': 41792, 'bytes free': 2681792, 'bytes requested': 41792, 'lhs fragmentation': 0, 'in-between fragmentation': 192, 'objs in-use': 13}
01:28:10.0563 [INFO] uart5: [output] {'bytes in-use': 45888, 'bytes free': 2677696, 'bytes requested': 45888, 'lhs fragmentation': 0, 'in-between fragmentation': 192, 'objs in-use': 14}
01:28:10.0564 [INFO] uart5: [virt:   3.8s (+1.2ms)] {'bytes in-use': 45888, 'bytes free': 2677696, 'bytes requested': 45888, 'lhs fragmentation': 0, 'in-between fragmentation': 192, 'objs in-use': 14}
01:28:10.0638 [INFO] uart5: [output] {'bytes in-use': 46400, 'bytes free': 2677184, 'bytes requested': 46400, 'lhs fragmentation': 0, 'in-between fragmentation': 192, 'objs in-use': 15}
01:28:10.0639 [INFO] uart5: [virt:   3.8s (+1.3ms)] {'bytes in-use': 46400, 'bytes free': 2677184, 'bytes requested': 46400, 'lhs fragmentation': 0, 'in-between fragmentation': 192, 'objs in-use': 15}
01:28:10.0731 [INFO] uart5: [output] {'bytes in-use': 50496, 'bytes free': 2673088, 'bytes requested': 50496, 'lhs fragmentation': 0, 'in-between fragmentation': 192, 'objs in-use': 16}
01:28:10.0732 [INFO] uart5: [virt:   3.8s (+1.3ms)] {'bytes in-use': 50496, 'bytes free': 2673088, 'bytes requested': 50496, 'lhs fragmentation': 0, 'in-between fragmentation': 192, 'objs in-use': 16}
01:28:10.0819 [INFO] uart5: [output] {'bytes in-use': 54592, 'bytes free': 2668992, 'bytes requested': 54592, 'lhs fragmentation': 0, 'in-between fragmentation': 192, 'objs in-use': 17}
01:28:10.0820 [INFO] uart5: [virt:   3.8s (+1.2ms)] {'bytes in-use': 54592, 'bytes free': 2668992, 'bytes requested': 54592, 'lhs fragmentation': 0, 'in-between fragmentation': 192, 'objs in-use': 17}
01:28:10.0872 [INFO] uart5: [output] {'bytes in-use': 58688, 'bytes free': 2664896, 'bytes requested': 58688, 'lhs fragmentation': 0, 'in-between fragmentation': 192, 'objs in-use': 18}
01:28:10.0872 [INFO] uart5: [virt:   3.8s (+1.3ms)] {'bytes in-use': 58688, 'bytes free': 2664896, 'bytes requested': 58688, 'lhs fragmentation': 0, 'in-between fragmentation': 192, 'objs in-use': 18}
01:28:10.0956 [INFO] uart5: [output] {'bytes in-use': 62784, 'bytes free': 2660800, 'bytes requested': 62784, 'lhs fragmentation': 0, 'in-between fragmentation': 192, 'objs in-use': 19}
01:28:10.0957 [INFO] uart5: [virt:  3.81s (+1.2ms)] {'bytes in-use': 62784, 'bytes free': 2660800, 'bytes requested': 62784, 'lhs fragmentation': 0, 'in-between fragmentation': 192, 'objs in-use': 19}
