15:12:44.8331 [INFO] uart5: [output] CANTRIP> [sreplay_app mltest best_fit
15:12:44.8332 [INFO] uart5: [virt: 2.21s (+12.2ms)] CANTRIP> [sreplay_app mltest best_fit
15:12:44.8482 [INFO] uart5: [output] {'bytes in-use': 4096, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2719488, 'bytes requested': 4096, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 1}
15:12:44.8483 [INFO] uart5: [virt:  2.21s (+1.6ms)] {'bytes in-use': 4096, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2719488, 'bytes requested': 4096, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 1}
15:12:44.8591 [INFO] uart5: [output] {'bytes in-use': 8192, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2715392, 'bytes requested': 8192, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 2}
15:12:44.8592 [INFO] uart5: [virt:  2.22s (+1.6ms)] {'bytes in-use': 8192, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2715392, 'bytes requested': 8192, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 2}
15:12:44.8743 [INFO] uart5: [output] {'bytes in-use': 12288, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2711296, 'bytes requested': 12288, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 3}
15:12:44.8744 [INFO] uart5: [virt:  2.22s (+1.7ms)] {'bytes in-use': 12288, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2711296, 'bytes requested': 12288, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 3}
15:12:44.8934 [INFO] uart5: [output] {'bytes in-use': 16384, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2707200, 'bytes requested': 16384, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 4}
15:12:44.8935 [INFO] uart5: [virt: 2.23s (+11.5ms)] {'bytes in-use': 16384, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2707200, 'bytes requested': 16384, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 4}
15:12:44.9081 [INFO] uart5: [output] {'bytes in-use': 20480, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2703104, 'bytes requested': 20480, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 5}
15:12:44.9082 [INFO] uart5: [virt:  2.23s (+1.7ms)] {'bytes in-use': 20480, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2703104, 'bytes requested': 20480, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 5}
15:12:44.9192 [INFO] uart5: [output] {'bytes in-use': 24576, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2699008, 'bytes requested': 24576, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 6}
