13:26:53.6091 [INFO] uart5: [output] CANTRIP> [ssynthetic_random_alloc 42 1000 32 latency best_fit
13:26:53.6092 [INFO] uart5: [virt: 14.84s (+14.4ms)] CANTRIP> [ssynthetic_random_alloc 42 1000 32 latency best_fit
13:26:53.6102 [INFO] uart5: [output] Begin synthetic workload!
13:26:53.6102 [INFO] uart5: [virt:  14.84s (+0.2ms)] Begin synthetic workload!
13:26:53.6145 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::{'bytes requested': 16384, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 16384, 'obj-in-use': 1, 'instruction count': 17414, 'allocation': true}
13:26:53.6146 [INFO] uart5: [virt:  14.84s (+0.7ms)] cantrip_memory_manager::memory_manager::{'bytes requested': 16384, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 16384, 'obj-in-use': 1, 'instruction count': 17414, 'allocation': true}
13:26:53.6227 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::{'bytes requested': 16384, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 0, 'obj-in-use': 0, 'instruction count': 253989, 'allocation': false}
13:26:53.6228 [INFO] uart5: [virt:  14.84s (+3.1ms)] cantrip_memory_manager::memory_manager::{'bytes requested': 16384, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 0, 'obj-in-use': 0, 'instruction count': 253989, 'allocation': false}
13:26:53.6266 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::{'bytes requested': 24576, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 8192, 'obj-in-use': 1, 'instruction count': 11001, 'allocation': true}
13:26:53.6267 [INFO] uart5: [virt:  14.84s (+0.7ms)] cantrip_memory_manager::memory_manager::{'bytes requested': 24576, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 8192, 'obj-in-use': 1, 'instruction count': 11001, 'allocation': true}
13:26:53.6332 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::{'bytes requested': 25088, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 8704, 'obj-in-use': 2, 'instruction count': 5706, 'allocation': true}
13:26:53.6333 [INFO] uart5: [virt:  14.84s (+0.6ms)] cantrip_memory_manager::memory_manager::{'bytes requested': 25088, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 8704, 'obj-in-use': 2, 'instruction count': 5706, 'allocation': true}
13:26:53.6379 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::{'bytes requested': 37376, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 20992, 'obj-in-use': 5, 'instruction count': 18398, 'allocation': true}
13:26:53.6380 [INFO] uart5: [virt:  14.85s (+0.7ms)] cantrip_memory_manager::memory_manager::{'bytes requested': 37376, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 20992, 'obj-in-use': 5, 'instruction count': 18398, 'allocation': true}
13:26:53.6444 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::{'bytes requested': 37376, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 8704, 'obj-in-use': 2, 'instruction count': 4289, 'allocation': false}
13:26:53.6445 [INFO] uart5: [virt:  14.85s (+0.7ms)] cantrip_memory_manager::memory_manager::{'bytes requested': 37376, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 8704, 'obj-in-use': 2, 'instruction count': 4289, 'allocation': false}
13:26:53.6479 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::{'bytes requested': 37408, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 8736, 'obj-in-use': 3, 'instruction count': 6088, 'allocation': true}
13:26:53.6479 [INFO] uart5: [virt:  14.85s (+0.6ms)] cantrip_memory_manager::memory_manager::{'bytes requested': 37408, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 8736, 'obj-in-use': 3, 'instruction count': 6088, 'allocation': true}
13:26:53.6542 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::{'bytes requested': 37424, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 8752, 'obj-in-use': 4, 'instruction count': 5274, 'allocation': true}
13:26:53.6543 [INFO] uart5: [virt:  14.85s (+0.6ms)] cantrip_memory_manager::memory_manager::{'bytes requested': 37424, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 8752, 'obj-in-use': 4, 'instruction count': 5274, 'allocation': true}
13:26:53.6597 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::{'bytes requested': 57904, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 29232, 'obj-in-use': 9, 'instruction count': 31822, 'allocation': true}
13:26:53.6598 [INFO] uart5: [virt:  14.85s (+0.9ms)] cantrip_memory_manager::memory_manager::{'bytes requested': 57904, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 29232, 'obj-in-use': 9, 'instruction count': 31822, 'allocation': true}
13:26:53.6690 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::{'bytes requested': 58416, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 29744, 'obj-in-use': 10, 'instruction count': 5254, 'allocation': true}
13:26:53.6691 [INFO] uart5: [virt:  14.85s (+0.7ms)] cantrip_memory_manager::memory_manager::{'bytes requested': 58416, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 29744, 'obj-in-use': 10, 'instruction count': 5254, 'allocation': true}
13:26:53.6781 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::{'bytes requested': 59440, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 30768, 'obj-in-use': 11, 'instruction count': 7099, 'allocation': true}
13:26:53.6782 [INFO] uart5: [virt:  14.85s (+0.7ms)] cantrip_memory_manager::memory_manager::{'bytes requested': 59440, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 30768, 'obj-in-use': 11, 'instruction count': 7099, 'allocation': true}
13:26:53.6869 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::{'bytes requested': 59440, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 30256, 'obj-in-use': 10, 'instruction count': 3243, 'allocation': false}
13:26:53.6870 [INFO] uart5: [virt:  14.85s (+0.6ms)] cantrip_memory_manager::memory_manager::{'bytes requested': 59440, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 30256, 'obj-in-use': 10, 'instruction count': 3243, 'allocation': false}
13:26:53.6962 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::{'bytes requested': 60464, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 31280, 'obj-in-use': 11, 'instruction count': 4394, 'allocation': true}
13:26:53.6962 [INFO] uart5: [virt:  14.85s (+0.6ms)] cantrip_memory_manager::memory_manager::{'bytes requested': 60464, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 31280, 'obj-in-use': 11, 'instruction count': 4394, 'allocation': true}
13:26:53.7003 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::{'bytes requested': 60480, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 31296, 'obj-in-use': 12, 'instruction count': 8379, 'allocation': true}
13:26:53.7004 [INFO] uart5: [virt:  14.85s (+0.6ms)] cantrip_memory_manager::memory_manager::{'bytes requested': 60480, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 31296, 'obj-in-use': 12, 'instruction count': 8379, 'allocation': true}
13:26:53.7093 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::{'bytes requested': 60736, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 31552, 'obj-in-use': 13, 'instruction count': 4603, 'allocation': true}
13:26:53.7094 [INFO] uart5: [virt:  14.85s (+0.7ms)] cantrip_memory_manager::memory_manager::{'bytes requested': 60736, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 31552, 'obj-in-use': 13, 'instruction count': 4603, 'allocation': true}
13:26:53.7190 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::{'bytes requested': 64832, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 35648, 'obj-in-use': 14, 'instruction count': 7899, 'allocation': true}
13:26:53.7191 [INFO] uart5: [virt:  14.85s (+0.6ms)] cantrip_memory_manager::memory_manager::{'bytes requested': 64832, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 35648, 'obj-in-use': 14, 'instruction count': 7899, 'allocation': true}
13:26:53.7285 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::{'bytes requested': 105792, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 76608, 'obj-in-use': 24, 'instruction count': 58452, 'allocation': true}
13:26:53.7287 [INFO] uart5: [virt:  14.85s (+1.2ms)] cantrip_memory_manager::memory_manager::{'bytes requested': 105792, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 76608, 'obj-in-use': 24, 'instruction count': 58452, 'allocation': true}
13:26:53.7379 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::{'bytes requested': 105920, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 76736, 'obj-in-use': 25, 'instruction count': 5306, 'allocation': true}
13:26:53.7380 [INFO] uart5: [virt:  14.85s (+0.7ms)] cantrip_memory_manager::memory_manager::{'bytes requested': 105920, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 76736, 'obj-in-use': 25, 'instruction count': 5306, 'allocation': true}
13:26:53.7476 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::{'bytes requested': 106432, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 77248, 'obj-in-use': 26, 'instruction count': 5324, 'allocation': true}
13:26:53.7477 [INFO] uart5: [virt:  14.86s (+0.7ms)] cantrip_memory_manager::memory_manager::{'bytes requested': 106432, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 77248, 'obj-in-use': 26, 'instruction count': 5324, 'allocation': true}
13:26:53.7570 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::{'bytes requested': 106448, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 77264, 'obj-in-use': 27, 'instruction count': 5316, 'allocation': true}
13:26:53.7571 [INFO] uart5: [virt:  14.86s (+0.6ms)] cantrip_memory_manager::memory_manager::{'bytes requested': 106448, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 77264, 'obj-in-use': 27, 'instruction count': 5316, 'allocation': true}
13:26:53.7675 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::{'bytes requested': 106448, 'slab resets': 3,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 36304, 'obj-in-use': 17, 'instruction count': 13439, 'allocation': false}
13:26:53.7676 [INFO] uart5: [virt:  14.86s (+0.8ms)] cantrip_memory_manager::memory_manager::{'bytes requested': 106448, 'slab resets': 3,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 36304, 'obj-in-use': 17, 'instruction count': 13439, 'allocation': false}
13:26:53.7765 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::{'bytes requested': 106480, 'slab resets': 3,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 36336, 'obj-in-use': 18, 'instruction count': 5317, 'allocation': true}
13:26:53.7766 [INFO] uart5: [virt:  14.86s (+0.6ms)] cantrip_memory_manager::memory_manager::{'bytes requested': 106480, 'slab resets': 3,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 36336, 'obj-in-use': 18, 'instruction count': 5317, 'allocation': true}
13:26:53.7821 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::{'bytes requested': 106480, 'slab resets': 3,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 36208, 'obj-in-use': 17, 'instruction count': 4629, 'allocation': false}
13:26:53.7822 [INFO] uart5: [virt:  14.86s (+0.7ms)] cantrip_memory_manager::memory_manager::{'bytes requested': 106480, 'slab resets': 3,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 36208, 'obj-in-use': 17, 'instruction count': 4629, 'allocation': false}
13:26:53.7919 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::{'bytes requested': 106512, 'slab resets': 3,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 36240, 'obj-in-use': 18, 'instruction count': 5317, 'allocation': true}
13:26:53.7920 [INFO] uart5: [virt:  14.86s (+0.6ms)] cantrip_memory_manager::memory_manager::{'bytes requested': 106512, 'slab resets': 3,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 36240, 'obj-in-use': 18, 'instruction count': 5317, 'allocation': true}
13:26:53.8007 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::{'bytes requested': 106528, 'slab resets': 3,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 36256, 'obj-in-use': 19, 'instruction count': 5190, 'allocation': true}
13:26:53.8008 [INFO] uart5: [virt:  14.86s (+0.6ms)] cantrip_memory_manager::memory_manager::{'bytes requested': 106528, 'slab resets': 3,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 36256, 'obj-in-use': 19, 'instruction count': 5190, 'allocation': true}
13:26:53.8096 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::{'bytes requested': 106560, 'slab resets': 3,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 36288, 'obj-in-use': 20, 'instruction count': 5306, 'allocation': true}
13:26:53.8097 [INFO] uart5: [virt:  14.86s (+0.6ms)] cantrip_memory_manager::memory_manager::{'bytes requested': 106560, 'slab resets': 3,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 36288, 'obj-in-use': 20, 'instruction count': 5306, 'allocation': true}
13:26:53.8174 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::{'bytes requested': 107584, 'slab resets': 3,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 37312, 'obj-in-use': 21, 'instruction count': 4575, 'allocation': true}
13:26:53.8176 [INFO] uart5: [virt:  14.86s (+0.7ms)] cantrip_memory_manager::memory_manager::{'bytes requested': 107584, 'slab resets': 3,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 37312, 'obj-in-use': 21, 'instruction count': 4575, 'allocation': true}
13:26:53.8259 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::{'bytes requested': 107584, 'slab resets': 4,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 16832, 'obj-in-use': 16, 'instruction count': 7709, 'allocation': false}
13:26:53.8260 [INFO] uart5: [virt:  14.86s (+0.7ms)] cantrip_memory_manager::memory_manager::{'bytes requested': 107584, 'slab resets': 4,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 16832, 'obj-in-use': 16, 'instruction count': 7709, 'allocation': false}
13:26:53.8333 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::{'bytes requested': 107600, 'slab resets': 4,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 16848, 'obj-in-use': 17, 'instruction count': 5188, 'allocation': true}
13:26:53.8333 [INFO] uart5: [virt:  14.86s (+0.6ms)] cantrip_memory_manager::memory_manager::{'bytes requested': 107600, 'slab resets': 4,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 16848, 'obj-in-use': 17, 'instruction count': 5188, 'allocation': true}
13:26:53.8507 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::{'bytes requested': 132176, 'slab resets': 4,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 41424, 'obj-in-use': 23, 'instruction count': 22002, 'allocation': true}
13:26:53.8508 [INFO] uart5: [virt: 14.87s (+10.8ms)] cantrip_memory_manager::memory_manager::{'bytes requested': 132176, 'slab resets': 4,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 41424, 'obj-in-use': 23, 'instruction count': 22002, 'allocation': true}
13:26:53.8608 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::{'bytes requested': 132208, 'slab resets': 4,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 41456, 'obj-in-use': 24, 'instruction count': 5317, 'allocation': true}
13:26:53.8609 [INFO] uart5: [virt:  14.87s (+0.7ms)] cantrip_memory_manager::memory_manager::{'bytes requested': 132208, 'slab resets': 4,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 41456, 'obj-in-use': 24, 'instruction count': 5317, 'allocation': true}
13:26:53.8712 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::{'bytes requested': 132208, 'slab resets': 5,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 33264, 'obj-in-use': 23, 'instruction count': 127719, 'allocation': false}
13:26:53.8712 [INFO] uart5: [virt:  14.88s (+1.8ms)] cantrip_memory_manager::memory_manager::{'bytes requested': 132208, 'slab resets': 5,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 33264, 'obj-in-use': 23, 'instruction count': 127719, 'allocation': false}
