02:11:54.9852 [INFO] uart5: [output] CANTRIP> [ssynthetic_random_alloc 42 1000 64 latency best_fit
02:11:54.9853 [INFO] uart5: [virt: 4.54s (+13.6ms)] CANTRIP> [ssynthetic_random_alloc 42 1000 64 latency best_fit
02:11:54.9868 [INFO] uart5: [output] Begin synthetic workload!
02:11:54.9869 [INFO] uart5: [virt:  4.54s (+0.2ms)] Begin synthetic workload!
02:11:54.9892 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::{'bytes requested': 16384, 'bytes in-use': 16384, 'obj-in-use': 1, 'instruction count': 17411, 'allocation': true}
02:11:54.9893 [INFO] uart5: [virt:  4.54s (+0.6ms)] cantrip_memory_manager::memory_manager::{'bytes requested': 16384, 'bytes in-use': 16384, 'obj-in-use': 1, 'instruction count': 17411, 'allocation': true}
02:11:54.9934 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::{'bytes requested': 16384, 'bytes in-use': 0, 'obj-in-use': 0, 'instruction count': 253986, 'allocation': false}
02:11:54.9935 [INFO] uart5: [virt:    4.55s (+3ms)] cantrip_memory_manager::memory_manager::{'bytes requested': 16384, 'bytes in-use': 0, 'obj-in-use': 0, 'instruction count': 253986, 'allocation': false}
02:11:55.0023 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::{'bytes requested': 24576, 'bytes in-use': 8192, 'obj-in-use': 1, 'instruction count': 10998, 'allocation': true}
02:11:55.0024 [INFO] uart5: [virt:  4.55s (+0.6ms)] cantrip_memory_manager::memory_manager::{'bytes requested': 24576, 'bytes in-use': 8192, 'obj-in-use': 1, 'instruction count': 10998, 'allocation': true}
02:11:55.0094 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::{'bytes requested': 25088, 'bytes in-use': 8704, 'obj-in-use': 2, 'instruction count': 5703, 'allocation': true}
02:11:55.0095 [INFO] uart5: [virt:  4.55s (+0.5ms)] cantrip_memory_manager::memory_manager::{'bytes requested': 25088, 'bytes in-use': 8704, 'obj-in-use': 2, 'instruction count': 5703, 'allocation': true}
02:11:55.0127 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::{'bytes requested': 37376, 'bytes in-use': 20992, 'obj-in-use': 5, 'instruction count': 18395, 'allocation': true}
02:11:55.0128 [INFO] uart5: [virt:  4.55s (+0.7ms)] cantrip_memory_manager::memory_manager::{'bytes requested': 37376, 'bytes in-use': 20992, 'obj-in-use': 5, 'instruction count': 18395, 'allocation': true}
02:11:55.0155 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::{'bytes requested': 37376, 'bytes in-use': 8704, 'obj-in-use': 2, 'instruction count': 4286, 'allocation': false}
02:11:55.0156 [INFO] uart5: [virt:  4.55s (+0.6ms)] cantrip_memory_manager::memory_manager::{'bytes requested': 37376, 'bytes in-use': 8704, 'obj-in-use': 2, 'instruction count': 4286, 'allocation': false}
02:11:55.0242 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::{'bytes requested': 37376, 'bytes in-use': 512, 'obj-in-use': 1, 'instruction count': 127716, 'allocation': false}
02:11:55.0243 [INFO] uart5: [virt:  4.55s (+1.8ms)] cantrip_memory_manager::memory_manager::{'bytes requested': 37376, 'bytes in-use': 512, 'obj-in-use': 1, 'instruction count': 127716, 'allocation': false}
02:11:55.0322 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::{'bytes requested': 37376, 'bytes in-use': 0, 'obj-in-use': 0, 'instruction count': 2763, 'allocation': false}
02:11:55.0323 [INFO] uart5: [virt:  4.55s (+0.5ms)] cantrip_memory_manager::memory_manager::{'bytes requested': 37376, 'bytes in-use': 0, 'obj-in-use': 0, 'instruction count': 2763, 'allocation': false}
02:11:55.0370 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::{'bytes requested': 37408, 'bytes in-use': 32, 'obj-in-use': 1, 'instruction count': 5729, 'allocation': true}
02:11:55.0371 [INFO] uart5: [virt:  4.55s (+0.5ms)] cantrip_memory_manager::memory_manager::{'bytes requested': 37408, 'bytes in-use': 32, 'obj-in-use': 1, 'instruction count': 5729, 'allocation': true}
02:11:55.0448 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::{'bytes requested': 37920, 'bytes in-use': 544, 'obj-in-use': 2, 'instruction count': 6118, 'allocation': true}
02:11:55.0449 [INFO] uart5: [virt:  4.55s (+0.5ms)] cantrip_memory_manager::memory_manager::{'bytes requested': 37920, 'bytes in-use': 544, 'obj-in-use': 2, 'instruction count': 6118, 'allocation': true}
02:11:55.0616 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::{'bytes requested': 37920, 'bytes in-use': 32, 'obj-in-use': 1, 'instruction count': 2751, 'allocation': false}
02:11:55.0618 [INFO] uart5: [virt: 4.56s (+10.6ms)] cantrip_memory_manager::memory_manager::{'bytes requested': 37920, 'bytes in-use': 32, 'obj-in-use': 1, 'instruction count': 2751, 'allocation': false}
