13:20:18.2043 [INFO] uart5: [output] CANTRIP> [ssynthetic_random_alloc 42 1000 32 profile best_fit
13:20:18.2044 [INFO] uart5: [virt: 6.48s (+17.1ms)] CANTRIP> [ssynthetic_random_alloc 42 1000 32 profile best_fit
13:20:18.2051 [INFO] uart5: [output] Begin synthetic workload!
13:20:18.2052 [INFO] uart5: [virt:  6.48s (+0.1ms)] Begin synthetic workload!
13:20:18.2144 [INFO] uart5: [output] {'bytes in-use': 16384, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2707200, 'bytes requested': 16384, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 1}
13:20:18.2145 [INFO] uart5: [virt:  6.48s (+1.8ms)] {'bytes in-use': 16384, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2707200, 'bytes requested': 16384, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 1}
13:20:18.2265 [INFO] uart5: [output] {'bytes in-use': 0, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2723584, 'bytes requested': 16384, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 0}
13:20:18.2266 [INFO] uart5: [virt:    6.48s (+4ms)] {'bytes in-use': 0, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2723584, 'bytes requested': 16384, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 0}
13:20:18.2388 [INFO] uart5: [output] {'bytes in-use': 8192, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2715392, 'bytes requested': 24576, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 1}
13:20:18.2389 [INFO] uart5: [virt:  6.48s (+1.7ms)] {'bytes in-use': 8192, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2715392, 'bytes requested': 24576, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 1}
13:20:18.2496 [INFO] uart5: [output] {'bytes in-use': 8704, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2714880, 'bytes requested': 25088, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 2}
13:20:18.2497 [INFO] uart5: [virt:  6.48s (+1.5ms)] {'bytes in-use': 8704, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2714880, 'bytes requested': 25088, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 2}
13:20:18.2601 [INFO] uart5: [output] {'bytes in-use': 20992, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2702592, 'bytes requested': 37376, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 5}
13:20:18.2602 [INFO] uart5: [virt:  6.49s (+1.7ms)] {'bytes in-use': 20992, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2702592, 'bytes requested': 37376, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 5}
13:20:18.2673 [INFO] uart5: [output] {'bytes in-use': 8704, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2714880, 'bytes requested': 37376, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 2}
13:20:18.2674 [INFO] uart5: [virt:  6.49s (+1.6ms)] {'bytes in-use': 8704, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2714880, 'bytes requested': 37376, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 2}
13:20:18.2774 [INFO] uart5: [output] {'bytes in-use': 8736, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2714848, 'bytes requested': 37408, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 3}
13:20:18.2776 [INFO] uart5: [virt:  6.49s (+1.6ms)] {'bytes in-use': 8736, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2714848, 'bytes requested': 37408, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 3}
13:20:18.2876 [INFO] uart5: [output] {'bytes in-use': 8752, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2714832, 'bytes requested': 37424, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 4}
13:20:18.2877 [INFO] uart5: [virt:  6.49s (+1.5ms)] {'bytes in-use': 8752, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2714832, 'bytes requested': 37424, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 4}
13:20:18.2978 [INFO] uart5: [output] {'bytes in-use': 29232, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2694352, 'bytes requested': 57904, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 9}
