15:14:26.0999 [INFO] uart5: [output] CANTRIP> [sreplay_seq_app  0 0 1 1 2 2 3 3 4 4 5 5 6 6 7 7 next_fit
15:14:26.1001 [INFO] uart5: [virt: 7.58s (+15.4ms)] CANTRIP> [sreplay_seq_app  0 0 1 1 2 2 3 3 4 4 5 5 6 6 7 7 next_fit
15:14:26.1139 [INFO] uart5: [output] {'bytes in-use': 4096, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2719488, 'bytes requested': 4096, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 1}
15:14:26.1140 [INFO] uart5: [virt:  7.58s (+2.5ms)] {'bytes in-use': 4096, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2719488, 'bytes requested': 4096, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 1}
15:14:26.1261 [INFO] uart5: [output] {'bytes in-use': 4160, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2719424, 'bytes requested': 4160, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 2}
15:14:26.1262 [INFO] uart5: [virt:  7.58s (+1.5ms)] {'bytes in-use': 4160, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2719424, 'bytes requested': 4160, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 2}
15:14:26.1362 [INFO] uart5: [output] {'bytes in-use': 4672, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2718912, 'bytes requested': 4672, 'lhs fragmentation': 0, 'in-between fragmentation': 448, 'objs in-use': 3}
15:14:26.1363 [INFO] uart5: [virt:  7.59s (+1.5ms)] {'bytes in-use': 4672, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2718912, 'bytes requested': 4672, 'lhs fragmentation': 0, 'in-between fragmentation': 448, 'objs in-use': 3}
15:14:26.1430 [INFO] uart5: [output] {'bytes in-use': 4928, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2718656, 'bytes requested': 4928, 'lhs fragmentation': 0, 'in-between fragmentation': 448, 'objs in-use': 4}
15:14:26.1431 [INFO] uart5: [virt:  7.59s (+1.6ms)] {'bytes in-use': 4928, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2718656, 'bytes requested': 4928, 'lhs fragmentation': 0, 'in-between fragmentation': 448, 'objs in-use': 4}
15:14:26.1595 [INFO] uart5: [output] {'bytes in-use': 9024, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2714560, 'bytes requested': 9024, 'lhs fragmentation': 0, 'in-between fragmentation': 3264, 'objs in-use': 5}
15:14:26.1596 [INFO] uart5: [virt:  7.59s (+1.5ms)] {'bytes in-use': 9024, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2714560, 'bytes requested': 9024, 'lhs fragmentation': 0, 'in-between fragmentation': 3264, 'objs in-use': 5}
15:14:26.1766 [INFO] uart5: [output] {'bytes in-use': 13120, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2710464, 'bytes requested': 13120, 'lhs fragmentation': 0, 'in-between fragmentation': 3264, 'objs in-use': 6}
15:14:26.1767 [INFO] uart5: [virt:  7.59s (+1.5ms)] {'bytes in-use': 13120, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2710464, 'bytes requested': 13120, 'lhs fragmentation': 0, 'in-between fragmentation': 3264, 'objs in-use': 6}
15:14:26.1893 [INFO] uart5: [output] {'bytes in-use': 29504, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2694080, 'bytes requested': 29504, 'lhs fragmentation': 0, 'in-between fragmentation': 3264, 'objs in-use': 10}
15:14:26.1894 [INFO] uart5: [virt:  7.59s (+1.6ms)] {'bytes in-use': 29504, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2694080, 'bytes requested': 29504, 'lhs fragmentation': 0, 'in-between fragmentation': 3264, 'objs in-use': 10}
15:14:26.2003 [INFO] uart5: [output] {'bytes in-use': 37696, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2685888, 'bytes requested': 37696, 'lhs fragmentation': 0, 'in-between fragmentation': 3264, 'objs in-use': 12}
15:14:26.2004 [INFO] uart5: [virt:  7.59s (+1.6ms)] {'bytes in-use': 37696, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2685888, 'bytes requested': 37696, 'lhs fragmentation': 0, 'in-between fragmentation': 3264, 'objs in-use': 12}
15:14:26.2090 [INFO] uart5: [output] {'bytes in-use': 41792, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2681792, 'bytes requested': 41792, 'lhs fragmentation': 0, 'in-between fragmentation': 3264, 'objs in-use': 13}
15:14:26.2091 [INFO] uart5: [virt:   7.6s (+1.5ms)] {'bytes in-use': 41792, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2681792, 'bytes requested': 41792, 'lhs fragmentation': 0, 'in-between fragmentation': 3264, 'objs in-use': 13}
