02:12:28.8046 [INFO] uart5: [output] CANTRIP> [ssynthetic_random_alloc 42 1000 16 latency next_fit
02:12:28.8046 [INFO] uart5: [virt:  5.4s (+20.2ms)] CANTRIP> [ssynthetic_random_alloc 42 1000 16 latency next_fit
02:12:28.8059 [INFO] uart5: [output] Begin synthetic workload!
02:12:28.8060 [INFO] uart5: [virt:   5.4s (+0.2ms)] Begin synthetic workload!
02:12:28.8170 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::{'bytes requested': 16384, 'bytes in-use': 16384, 'obj-in-use': 1, 'instruction count': 427531, 'allocation': true}
02:12:28.8171 [INFO] uart5: [virt:  5.41s (+4.7ms)] cantrip_memory_manager::memory_manager::{'bytes requested': 16384, 'bytes in-use': 16384, 'obj-in-use': 1, 'instruction count': 427531, 'allocation': true}
02:12:28.8247 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::{'bytes requested': 16384, 'bytes in-use': 0, 'obj-in-use': 0, 'instruction count': 253751, 'allocation': false}
02:12:28.8248 [INFO] uart5: [virt:    5.41s (+3ms)] cantrip_memory_manager::memory_manager::{'bytes requested': 16384, 'bytes in-use': 0, 'obj-in-use': 0, 'instruction count': 253751, 'allocation': false}
02:12:28.8290 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::{'bytes requested': 24576, 'bytes in-use': 8192, 'obj-in-use': 1, 'instruction count': 14716, 'allocation': true}
02:12:28.8292 [INFO] uart5: [virt:  5.41s (+0.6ms)] cantrip_memory_manager::memory_manager::{'bytes requested': 24576, 'bytes in-use': 8192, 'obj-in-use': 1, 'instruction count': 14716, 'allocation': true}
02:12:28.8358 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::{'bytes requested': 25088, 'bytes in-use': 8704, 'obj-in-use': 2, 'instruction count': 1633, 'allocation': true}
02:12:28.8359 [INFO] uart5: [virt:  5.41s (+0.5ms)] cantrip_memory_manager::memory_manager::{'bytes requested': 25088, 'bytes in-use': 8704, 'obj-in-use': 2, 'instruction count': 1633, 'allocation': true}
02:12:28.8399 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::{'bytes requested': 37376, 'bytes in-use': 20992, 'obj-in-use': 5, 'instruction count': 1734, 'allocation': true}
02:12:28.8400 [INFO] uart5: [virt:  5.41s (+0.5ms)] cantrip_memory_manager::memory_manager::{'bytes requested': 37376, 'bytes in-use': 20992, 'obj-in-use': 5, 'instruction count': 1734, 'allocation': true}
02:12:28.8462 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::{'bytes requested': 37376, 'bytes in-use': 8704, 'obj-in-use': 2, 'instruction count': 4194, 'allocation': false}
02:12:28.8463 [INFO] uart5: [virt:  5.41s (+0.6ms)] cantrip_memory_manager::memory_manager::{'bytes requested': 37376, 'bytes in-use': 8704, 'obj-in-use': 2, 'instruction count': 4194, 'allocation': false}
02:12:28.8490 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::{'bytes requested': 37408, 'bytes in-use': 8736, 'obj-in-use': 3, 'instruction count': 1626, 'allocation': true}
02:12:28.8491 [INFO] uart5: [virt:  5.41s (+0.5ms)] cantrip_memory_manager::memory_manager::{'bytes requested': 37408, 'bytes in-use': 8736, 'obj-in-use': 3, 'instruction count': 1626, 'allocation': true}
02:12:28.8553 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::{'bytes requested': 37424, 'bytes in-use': 8752, 'obj-in-use': 4, 'instruction count': 1599, 'allocation': true}
02:12:28.8554 [INFO] uart5: [virt:  5.41s (+0.5ms)] cantrip_memory_manager::memory_manager::{'bytes requested': 37424, 'bytes in-use': 8752, 'obj-in-use': 4, 'instruction count': 1599, 'allocation': true}
02:12:28.8586 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::{'bytes requested': 57904, 'bytes in-use': 29232, 'obj-in-use': 9, 'instruction count': 1870, 'allocation': true}
02:12:28.8587 [INFO] uart5: [virt:  5.41s (+0.5ms)] cantrip_memory_manager::memory_manager::{'bytes requested': 57904, 'bytes in-use': 29232, 'obj-in-use': 9, 'instruction count': 1870, 'allocation': true}
02:12:28.8618 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::{'bytes requested': 58416, 'bytes in-use': 29744, 'obj-in-use': 10, 'instruction count': 1657, 'allocation': true}
02:12:28.8619 [INFO] uart5: [virt:  5.42s (+0.6ms)] cantrip_memory_manager::memory_manager::{'bytes requested': 58416, 'bytes in-use': 29744, 'obj-in-use': 10, 'instruction count': 1657, 'allocation': true}
