11:14:10.6901 [INFO] uart5: [output] CANTRIP> [ssynthetic_random_alloc 42 1000 64 latency next_fit
11:14:10.6902 [INFO] uart5: [virt: 24.21s (+17.7ms)] CANTRIP> [ssynthetic_random_alloc 42 1000 64 latency next_fit
11:14:10.6915 [INFO] uart5: [output] Begin synthetic workload!
11:14:10.6916 [INFO] uart5: [virt:  24.21s (+0.2ms)] Begin synthetic workload!
11:14:10.7021 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::'{'bytes in-use': 16384, 'obj-in-use': 1, 'instruction count': 424541, 'allocation': true}
11:14:10.7023 [INFO] uart5: [virt:  24.22s (+4.6ms)] cantrip_memory_manager::memory_manager::'{'bytes in-use': 16384, 'obj-in-use': 1, 'instruction count': 424541, 'allocation': true}
11:14:10.7101 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::'{'bytes in-use': 0, 'obj-in-use': 0, 'instruction count': 253759, 'allocation': false}
11:14:10.7102 [INFO] uart5: [virt:    24.22s (+3ms)] cantrip_memory_manager::memory_manager::'{'bytes in-use': 0, 'obj-in-use': 0, 'instruction count': 253759, 'allocation': false}
11:14:10.7135 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::'{'bytes in-use': 8192, 'obj-in-use': 1, 'instruction count': 14661, 'allocation': true}
11:14:10.7137 [INFO] uart5: [virt:  24.22s (+0.6ms)] cantrip_memory_manager::memory_manager::'{'bytes in-use': 8192, 'obj-in-use': 1, 'instruction count': 14661, 'allocation': true}
11:14:10.7172 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::'{'bytes in-use': 8704, 'obj-in-use': 2, 'instruction count': 1634, 'allocation': true}
11:14:10.7174 [INFO] uart5: [virt:  24.22s (+0.5ms)] cantrip_memory_manager::memory_manager::'{'bytes in-use': 8704, 'obj-in-use': 2, 'instruction count': 1634, 'allocation': true}
11:14:10.7232 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::'{'bytes in-use': 20992, 'obj-in-use': 5, 'instruction count': 1735, 'allocation': true}
11:14:10.7233 [INFO] uart5: [virt:  24.22s (+0.4ms)] cantrip_memory_manager::memory_manager::'{'bytes in-use': 20992, 'obj-in-use': 5, 'instruction count': 1735, 'allocation': true}
11:14:10.7270 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::'{'bytes in-use': 8704, 'obj-in-use': 2, 'instruction count': 4216, 'allocation': false}
11:14:10.7271 [INFO] uart5: [virt:  24.22s (+0.6ms)] cantrip_memory_manager::memory_manager::'{'bytes in-use': 8704, 'obj-in-use': 2, 'instruction count': 4216, 'allocation': false}
11:14:10.7353 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::'{'bytes in-use': 512, 'obj-in-use': 1, 'instruction count': 151764, 'allocation': false}
