13:34:45.2297 [INFO] uart5: [output] CANTRIP> [ssynthetic_random_alloc 42 1000 16 profile next_fit
13:34:45.2298 [INFO] uart5: [virt: 20.17s (+17.2ms)] CANTRIP> [ssynthetic_random_alloc 42 1000 16 profile next_fit
13:34:45.2308 [INFO] uart5: [output] Begin synthetic workload!
13:34:45.2309 [INFO] uart5: [virt:  20.17s (+0.1ms)] Begin synthetic workload!
13:34:45.2431 [INFO] uart5: [output] {'bytes in-use': 16384, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2707200, 'bytes requested': 16384, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 1}
13:34:45.2432 [INFO] uart5: [virt:  20.17s (+1.9ms)] {'bytes in-use': 16384, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2707200, 'bytes requested': 16384, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 1}
13:34:45.2573 [INFO] uart5: [output] {'bytes in-use': 0, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2723584, 'bytes requested': 16384, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 0}
13:34:45.2574 [INFO] uart5: [virt:  20.17s (+4.1ms)] {'bytes in-use': 0, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2723584, 'bytes requested': 16384, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 0}
13:34:45.2699 [INFO] uart5: [output] {'bytes in-use': 8192, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2715392, 'bytes requested': 24576, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 1}
13:34:45.2700 [INFO] uart5: [virt:  20.17s (+1.7ms)] {'bytes in-use': 8192, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2715392, 'bytes requested': 24576, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 1}
13:34:45.2823 [INFO] uart5: [output] {'bytes in-use': 8704, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2714880, 'bytes requested': 25088, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 2}
13:34:45.2825 [INFO] uart5: [virt:  20.18s (+1.5ms)] {'bytes in-use': 8704, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2714880, 'bytes requested': 25088, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 2}
13:34:45.2952 [INFO] uart5: [output] {'bytes in-use': 20992, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2702592, 'bytes requested': 37376, 'lhs fragmentation': 0, 'in-between fragmentation': 3584, 'objs in-use': 5}
13:34:45.2953 [INFO] uart5: [virt:  20.18s (+1.5ms)] {'bytes in-use': 20992, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2702592, 'bytes requested': 37376, 'lhs fragmentation': 0, 'in-between fragmentation': 3584, 'objs in-use': 5}
13:34:45.3043 [INFO] uart5: [output] {'bytes in-use': 8704, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2714880, 'bytes requested': 37376, 'lhs fragmentation': 12288, 'in-between fragmentation': 3584, 'objs in-use': 2}
13:34:45.3044 [INFO] uart5: [virt:  20.18s (+1.6ms)] {'bytes in-use': 8704, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2714880, 'bytes requested': 37376, 'lhs fragmentation': 12288, 'in-between fragmentation': 3584, 'objs in-use': 2}
13:34:45.3172 [INFO] uart5: [output] {'bytes in-use': 8736, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2714848, 'bytes requested': 37408, 'lhs fragmentation': 12288, 'in-between fragmentation': 3584, 'objs in-use': 3}
13:34:45.3173 [INFO] uart5: [virt:  20.18s (+1.6ms)] {'bytes in-use': 8736, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2714848, 'bytes requested': 37408, 'lhs fragmentation': 12288, 'in-between fragmentation': 3584, 'objs in-use': 3}
13:34:45.3304 [INFO] uart5: [output] {'bytes in-use': 8752, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2714832, 'bytes requested': 37424, 'lhs fragmentation': 12288, 'in-between fragmentation': 3584, 'objs in-use': 4}
13:34:45.3306 [INFO] uart5: [virt:  20.18s (+1.5ms)] {'bytes in-use': 8752, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2714832, 'bytes requested': 37424, 'lhs fragmentation': 12288, 'in-between fragmentation': 3584, 'objs in-use': 4}
13:34:45.3415 [INFO] uart5: [output] {'bytes in-use': 29232, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2694352, 'bytes requested': 57904, 'lhs fragmentation': 12288, 'in-between fragmentation': 7632, 'objs in-use': 9}
13:34:45.3416 [INFO] uart5: [virt:  20.18s (+1.6ms)] {'bytes in-use': 29232, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2694352, 'bytes requested': 57904, 'lhs fragmentation': 12288, 'in-between fragmentation': 7632, 'objs in-use': 9}
13:34:45.3516 [INFO] uart5: [output] {'bytes in-use': 29744, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2693840, 'bytes requested': 58416, 'lhs fragmentation': 12288, 'in-between fragmentation': 7632, 'objs in-use': 10}
13:34:45.3518 [INFO] uart5: [virt:  20.19s (+1.5ms)] {'bytes in-use': 29744, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2693840, 'bytes requested': 58416, 'lhs fragmentation': 12288, 'in-between fragmentation': 7632, 'objs in-use': 10}
13:34:45.3655 [INFO] uart5: [output] {'bytes in-use': 30768, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2692816, 'bytes requested': 59440, 'lhs fragmentation': 12288, 'in-between fragmentation': 8144, 'objs in-use': 11}
13:34:45.3656 [INFO] uart5: [virt:  20.19s (+1.6ms)] {'bytes in-use': 30768, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2692816, 'bytes requested': 59440, 'lhs fragmentation': 12288, 'in-between fragmentation': 8144, 'objs in-use': 11}
13:34:45.3751 [INFO] uart5: [output] {'bytes in-use': 30784, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2692800, 'bytes requested': 59456, 'lhs fragmentation': 12288, 'in-between fragmentation': 8144, 'objs in-use': 12}
13:34:45.3752 [INFO] uart5: [virt:  20.19s (+1.5ms)] {'bytes in-use': 30784, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2692800, 'bytes requested': 59456, 'lhs fragmentation': 12288, 'in-between fragmentation': 8144, 'objs in-use': 12}
13:34:45.3872 [INFO] uart5: [output] {'bytes in-use': 63552, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2660032, 'bytes requested': 92224, 'lhs fragmentation': 12288, 'in-between fragmentation': 10176, 'objs in-use': 20}
13:34:45.3873 [INFO] uart5: [virt:  20.19s (+1.6ms)] {'bytes in-use': 63552, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2660032, 'bytes requested': 92224, 'lhs fragmentation': 12288, 'in-between fragmentation': 10176, 'objs in-use': 20}
13:34:45.4015 [INFO] uart5: [output] {'bytes in-use': 63568, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2660016, 'bytes requested': 92240, 'lhs fragmentation': 12288, 'in-between fragmentation': 10176, 'objs in-use': 21}
13:34:45.4016 [INFO] uart5: [virt:  20.19s (+1.6ms)] {'bytes in-use': 63568, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2660016, 'bytes requested': 92240, 'lhs fragmentation': 12288, 'in-between fragmentation': 10176, 'objs in-use': 21}
