10:59:00.9065 [INFO] uart5: [output] CANTRIP> [ssynthetic_random_alloc 42 1000 32 profile next_fit
10:59:00.9065 [INFO] uart5: [virt:    17.3s (+16ms)] CANTRIP> [ssynthetic_random_alloc 42 1000 32 profile next_fit
10:59:00.9076 [INFO] uart5: [output] Begin synthetic workload!
10:59:00.9077 [INFO] uart5: [virt:   17.3s (+0.1ms)] Begin synthetic workload!
10:59:00.9202 [INFO] uart5: [output] {'bytes in-use': 16384, 'bytes free': 2707200, 'bytes requested': 16384, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 1}
10:59:00.9203 [INFO] uart5: [virt:  17.31s (+5.5ms)] {'bytes in-use': 16384, 'bytes free': 2707200, 'bytes requested': 16384, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 1}
10:59:00.9327 [INFO] uart5: [output] {'bytes in-use': 0, 'bytes free': 2723584, 'bytes requested': 16384, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 0}
10:59:00.9328 [INFO] uart5: [virt:  17.31s (+3.8ms)] {'bytes in-use': 0, 'bytes free': 2723584, 'bytes requested': 16384, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 0}
10:59:00.9398 [INFO] uart5: [output] {'bytes in-use': 8192, 'bytes free': 2715392, 'bytes requested': 24576, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 1}
10:59:00.9399 [INFO] uart5: [virt:  17.31s (+1.3ms)] {'bytes in-use': 8192, 'bytes free': 2715392, 'bytes requested': 24576, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 1}
10:59:00.9443 [INFO] uart5: [output] {'bytes in-use': 8704, 'bytes free': 2714880, 'bytes requested': 25088, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 2}
10:59:00.9444 [INFO] uart5: [virt:  17.31s (+1.2ms)] {'bytes in-use': 8704, 'bytes free': 2714880, 'bytes requested': 25088, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 2}
10:59:00.9514 [INFO] uart5: [output] {'bytes in-use': 20992, 'bytes free': 2702592, 'bytes requested': 37376, 'lhs fragmentation': 0, 'in-between fragmentation': 3584, 'objs in-use': 5}
10:59:00.9515 [INFO] uart5: [virt:  17.32s (+1.3ms)] {'bytes in-use': 20992, 'bytes free': 2702592, 'bytes requested': 37376, 'lhs fragmentation': 0, 'in-between fragmentation': 3584, 'objs in-use': 5}
10:59:00.9560 [INFO] uart5: [output] {'bytes in-use': 8704, 'bytes free': 2714880, 'bytes requested': 37376, 'lhs fragmentation': 12288, 'in-between fragmentation': 3584, 'objs in-use': 2}
10:59:00.9560 [INFO] uart5: [virt:  17.32s (+1.2ms)] {'bytes in-use': 8704, 'bytes free': 2714880, 'bytes requested': 37376, 'lhs fragmentation': 12288, 'in-between fragmentation': 3584, 'objs in-use': 2}
10:59:00.9632 [INFO] uart5: [output] {'bytes in-use': 8736, 'bytes free': 2714848, 'bytes requested': 37408, 'lhs fragmentation': 12288, 'in-between fragmentation': 3584, 'objs in-use': 3}
10:59:00.9633 [INFO] uart5: [virt:  17.32s (+1.3ms)] {'bytes in-use': 8736, 'bytes free': 2714848, 'bytes requested': 37408, 'lhs fragmentation': 12288, 'in-between fragmentation': 3584, 'objs in-use': 3}
10:59:00.9703 [INFO] uart5: [output] {'bytes in-use': 8752, 'bytes free': 2714832, 'bytes requested': 37424, 'lhs fragmentation': 12288, 'in-between fragmentation': 3584, 'objs in-use': 4}
10:59:00.9704 [INFO] uart5: [virt:  17.32s (+1.2ms)] {'bytes in-use': 8752, 'bytes free': 2714832, 'bytes requested': 37424, 'lhs fragmentation': 12288, 'in-between fragmentation': 3584, 'objs in-use': 4}
10:59:00.9751 [INFO] uart5: [output] {'bytes in-use': 29232, 'bytes free': 2694352, 'bytes requested': 57904, 'lhs fragmentation': 12288, 'in-between fragmentation': 7632, 'objs in-use': 9}
10:59:00.9751 [INFO] uart5: [virt:  17.32s (+1.3ms)] {'bytes in-use': 29232, 'bytes free': 2694352, 'bytes requested': 57904, 'lhs fragmentation': 12288, 'in-between fragmentation': 7632, 'objs in-use': 9}
10:59:00.9826 [INFO] uart5: [output] {'bytes in-use': 29744, 'bytes free': 2693840, 'bytes requested': 58416, 'lhs fragmentation': 12288, 'in-between fragmentation': 7632, 'objs in-use': 10}
10:59:00.9826 [INFO] uart5: [virt:  17.32s (+1.2ms)] {'bytes in-use': 29744, 'bytes free': 2693840, 'bytes requested': 58416, 'lhs fragmentation': 12288, 'in-between fragmentation': 7632, 'objs in-use': 10}
10:59:00.9903 [INFO] uart5: [output] {'bytes in-use': 30768, 'bytes free': 2692816, 'bytes requested': 59440, 'lhs fragmentation': 12288, 'in-between fragmentation': 8144, 'objs in-use': 11}
10:59:00.9903 [INFO] uart5: [virt:  17.32s (+1.3ms)] {'bytes in-use': 30768, 'bytes free': 2692816, 'bytes requested': 59440, 'lhs fragmentation': 12288, 'in-between fragmentation': 8144, 'objs in-use': 11}
