13:50:28.0329 [INFO] uart5: [output] CANTRIP> [ssynthetic_random_alloc 42 1000 48 profile next_fit
13:50:28.0330 [INFO] uart5: [virt:   26.72s (+20ms)] CANTRIP> [ssynthetic_random_alloc 42 1000 48 profile next_fit
13:50:28.0336 [INFO] uart5: [output] Begin synthetic workload!
13:50:28.0337 [INFO] uart5: [virt:  26.72s (+0.1ms)] Begin synthetic workload!
13:50:28.0483 [INFO] uart5: [output] {'bytes in-use': 16384, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2707200, 'bytes requested': 16384, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 1}
13:50:28.0484 [INFO] uart5: [virt:  26.73s (+5.8ms)] {'bytes in-use': 16384, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2707200, 'bytes requested': 16384, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 1}
13:50:28.0664 [INFO] uart5: [output] {'bytes in-use': 0, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2723584, 'bytes requested': 16384, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 0}
13:50:28.0665 [INFO] uart5: [virt:  26.73s (+4.1ms)] {'bytes in-use': 0, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2723584, 'bytes requested': 16384, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 0}
13:50:28.0781 [INFO] uart5: [output] {'bytes in-use': 8192, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2715392, 'bytes requested': 24576, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 1}
13:50:28.0782 [INFO] uart5: [virt:  26.73s (+1.7ms)] {'bytes in-use': 8192, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2715392, 'bytes requested': 24576, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 1}
13:50:28.0900 [INFO] uart5: [output] {'bytes in-use': 8704, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2714880, 'bytes requested': 25088, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 2}
13:50:28.0901 [INFO] uart5: [virt:  26.73s (+1.5ms)] {'bytes in-use': 8704, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2714880, 'bytes requested': 25088, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 2}
13:50:28.1046 [INFO] uart5: [output] {'bytes in-use': 20992, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2702592, 'bytes requested': 37376, 'lhs fragmentation': 0, 'in-between fragmentation': 3584, 'objs in-use': 5}
13:50:28.1047 [INFO] uart5: [virt:  26.74s (+1.6ms)] {'bytes in-use': 20992, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2702592, 'bytes requested': 37376, 'lhs fragmentation': 0, 'in-between fragmentation': 3584, 'objs in-use': 5}
13:50:28.1143 [INFO] uart5: [output] {'bytes in-use': 8704, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2714880, 'bytes requested': 37376, 'lhs fragmentation': 12288, 'in-between fragmentation': 3584, 'objs in-use': 2}
13:50:28.1144 [INFO] uart5: [virt:  26.74s (+1.6ms)] {'bytes in-use': 8704, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2714880, 'bytes requested': 37376, 'lhs fragmentation': 12288, 'in-between fragmentation': 3584, 'objs in-use': 2}
