11:02:15.8183 [INFO] uart5: [output] CANTRIP> [ssynthetic_random_alloc 42 1000 64 profile next_fit
11:02:15.8184 [INFO] uart5: [virt:  19.77s (+9.7ms)] CANTRIP> [ssynthetic_random_alloc 42 1000 64 profile next_fit
11:02:15.8195 [INFO] uart5: [output] Begin synthetic workload!
11:02:15.8196 [INFO] uart5: [virt:  19.77s (+0.1ms)] Begin synthetic workload!
11:02:15.8326 [INFO] uart5: [output] {'bytes in-use': 16384, 'bytes free': 2707200, 'bytes requested': 16384, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 1}
11:02:15.8327 [INFO] uart5: [virt:  19.78s (+5.5ms)] {'bytes in-use': 16384, 'bytes free': 2707200, 'bytes requested': 16384, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 1}
11:02:15.8458 [INFO] uart5: [output] {'bytes in-use': 0, 'bytes free': 2723584, 'bytes requested': 16384, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 0}
11:02:15.8459 [INFO] uart5: [virt:  19.78s (+3.8ms)] {'bytes in-use': 0, 'bytes free': 2723584, 'bytes requested': 16384, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 0}
11:02:15.8506 [INFO] uart5: [output] {'bytes in-use': 8192, 'bytes free': 2715392, 'bytes requested': 24576, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 1}
11:02:15.8507 [INFO] uart5: [virt:  19.78s (+1.3ms)] {'bytes in-use': 8192, 'bytes free': 2715392, 'bytes requested': 24576, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 1}
11:02:15.8589 [INFO] uart5: [output] {'bytes in-use': 8704, 'bytes free': 2714880, 'bytes requested': 25088, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 2}
11:02:15.8590 [INFO] uart5: [virt:  19.78s (+1.3ms)] {'bytes in-use': 8704, 'bytes free': 2714880, 'bytes requested': 25088, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 2}
11:02:15.8674 [INFO] uart5: [output] {'bytes in-use': 20992, 'bytes free': 2702592, 'bytes requested': 37376, 'lhs fragmentation': 0, 'in-between fragmentation': 3584, 'objs in-use': 5}
11:02:15.8675 [INFO] uart5: [virt:  19.78s (+1.2ms)] {'bytes in-use': 20992, 'bytes free': 2702592, 'bytes requested': 37376, 'lhs fragmentation': 0, 'in-between fragmentation': 3584, 'objs in-use': 5}
11:02:15.8767 [INFO] uart5: [output] {'bytes in-use': 8704, 'bytes free': 2714880, 'bytes requested': 37376, 'lhs fragmentation': 12288, 'in-between fragmentation': 3584, 'objs in-use': 2}
11:02:15.8768 [INFO] uart5: [virt:  19.79s (+1.3ms)] {'bytes in-use': 8704, 'bytes free': 2714880, 'bytes requested': 37376, 'lhs fragmentation': 12288, 'in-between fragmentation': 3584, 'objs in-use': 2}
